name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
Private Party,Johnson,VT,USA,44.6356063,-72.6803979,administrative,1,12/13/85,2/25/85,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Base Lodge, Stearns Hall, Johns...",Johnson,VT,USA,44.6356063,-72.6803979,administrative,2,3/11/88,4/14/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Theater,Kalamazoo,MI,USA,42.291707,-85.5872286,city,2,6/19/94,12/10/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing's Stadium,Kalamazoo,MI,USA,42.25405385,-85.53615163,stadium,1,10/27/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial Hall,Kansas City,KS,USA,39.1146799,-94.7495246,city,3,6/13/94,8/17/93,4/13/93,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlight Theatre,Kansas City,MO,USA,39.0844687,-94.5630298,city,1,8/22/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mabel Brown Room, Keene State College",Keene,NH,USA,42.933597,-72.2784264,administrative,2,10/12/89,2/22/90,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Colonial Theatre,Keene,NH,USA,42.933597,-72.2784264,administrative,7,3/11/92,9/25/91,7/12/91,2/15/91,11/30/90,9/15/90,5/4/90,,,,,,,,,,,,,,,,,,,,,,
"MAC Center, Kent State University",Kent,OH,USA,41.1536674,-81.357886,city,1,11/12/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickle Barrel Pub,Killington,VT,USA,43.6775677,-72.7798247,village,1,12/29/08,4/21/01,3/30/00,4/2/99,2/7/91,,,,,,,,,,,,,,,,,,,,,,,,
Arnold's Flamingo Grill,Knoxville,TN,USA,35.9603948,-83.9210261,city,1,2/27/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civic Auditorium,Knoxville,TN,USA,35.965552,-83.911738,city,1,4/25/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Ballroom,Knoxville,TN,USA,35.9603948,-83.9210261,city,1,2/18/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knoxville Civic Coliseum,Knoxville,TN,USA,35.965083,-83.911294,theatre,2,11/6/96,11/28/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Theatre,Knoxville,TN,USA,35.964191,-83.9174154,theatre,1,2/28/10,7/29/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thompson-Boling Arena,Knoxville,TN,USA,35.9603948,-83.9210261,city,1,6/10/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympic Center,Lake Placid,NY,USA,44.28358309,-73.98550551,sports_centre,3,3/18/06,10/16/96,12/17/95,12/16/95,,,,,,,,,,,,,,,,,,,,,,,,,
Chameleon Club,Lancaster,PA,USA,40.04159575,-76.30883667,house,1,2/9/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tent Party, Franklin & Marshall College",Lancaster,PA,USA,40.03813,-76.3056686,city,1,5/3/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USAir Arena,Landover,MD,USA,38.9340002,-76.8966397,hamlet,2,12/28/97,11/22/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan American Center,Las Cruces,NM,USA,32.28383489,-106.7422021,yes,2,9/22/99,8/20/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aladdin Theatre,Las Vegas,NV,USA,36.145204,-115.1611806,city,1,10/28/05,12/6/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas & Mack Center,Las Vegas,NV,USA,36.104924,-115.144252,administrative,10,4/17/04,4/16/04,4/15/04,2/16/03,2/15/03,6/1/02,5/31/02,,,,,,,,,,,,,,,,,,,,,,
Liberty Hall,Lawrence,KS,USA,38.97154835,-95.23554398,cinema,1,3/12/14,9/15/05,10/30/01,2/6/00,4/1/92,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire Performing Arts Center,Lenox,MA,USA,42.3534194,-73.2820511,arts_centre,1,7/13/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alumni Gymnasium, Bates College",Lewiston,ME,USA,44.100351,-70.2147764,city,1,2/2/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chase Hall, Bates College",Lewiston,ME,USA,44.100351,-70.2147764,city,1,10/7/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rupp Arena,Lexington,KY,USA,38.0494137,-84.50252952,stadium,1,11/7/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Horse Center,Lexington,VA,USA,37.7840208,-79.4428157,city,1,4/20/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'Aeronef,Lille,0,France,50.6305089,3.0706414,city,1,6/25/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Laiterie,Lille,0,France,50.6305089,3.0706414,city,1,6/24/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Marna,Lille,0,France,50.6305089,3.0706414,city,1,7/15/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pershing Auditorium,Lincoln,NE,USA,40.8119458,-96.6986273,theatre,1,10/21/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brixton Academy,London,0,England,51.5072759,-0.1276597,city,1,7/3/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Albert Hall,London,0,England,51.5009624,-0.177430316,attraction,1,6/16/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherd's Bush Empire,London,0,England,51.50342671,-0.224292699,yes,2,2/13/97,7/11/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Arena,Long Beach,CA,USA,33.7774658,-118.1884871,city,1,8/15/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pista Speedway,Lonigo,0,Italy,45.37571915,11.39288247,stadium,1,7/2/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greek Theatre,Los Angeles,CA,USA,34.06093655,-117.1646903,theatre,5,5/29/02,7/12/01,10/29/98,9/29/95,8/15/92,8/14/92,8/13/92,,,,,,,,,,,,,,,,,,,,,,
Key Club,Los Angeles,CA,USA,34.0536781,-118.2427025,city,2,5/19/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pauley Pavilion, University of Cali...",Los Angeles,CA,USA,34.0536781,-118.2427025,city,1,12/1/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wiltern Theatre,Los Angeles,CA,USA,34.0536781,-118.2427025,city,1,12/10/06,12/7/05,5/16/94,,,,,,3/3/90,12/30/89,10/26/89,9/2/89,6/3/89,3/4/89,,,,,,,,,,,,,,,
Variety Arts Center,Los Angeles,CA,USA,34.04528949,-118.2631148,house,1,4/15/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville Gardens,Louisville,KY,USA,38.2542376,-85.759407,city,1,10/29/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palace Theatre,Louisville,KY,USA,38.248083,-85.757994,residential,3,10/10/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macauley Theater,Louisville,KY,USA,38.2542376,-85.759407,city,2,8/15/93,4/16/93,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell Memorial Auditorium,Lowell,MA,USA,42.64510009,-71.30412606,yes,1,5/16/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stevens Dining Hall, Lyndon State C...",Lyndonville,VT,USA,44.5336666,-72.0031513,administrative,1,12/2/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Transbordeur,Lyon/Villeurbanne,0,France,45.78401355,4.86079401,theatre,1,7/9/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrymore Theatre,Madison,WI,USA,43.074761,-89.3837613,city,4,3/9/14,11/17/10,9/26/09,10/18/05,12/8/92,4/30/92,10/4/91,4/12/91,11/7/90,,,,,,,,,,,,,,,,,,,,
Dane County Coliseum,Madison,WI,USA,43.04709509,-89.37893676,stadium,1,10/24/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane County Exposition Center,Madison,WI,USA,43.074761,-89.3837613,city,1,11/20/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kohl Center,Madison,WI,USA,43.074761,-89.3837613,city,1,11/6/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rathskeller, Memorial Union, Univer...",Madison,WI,USA,43.074761,-89.3837613,city,1,3/31/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Great Hall, University of Wisconsin",Madison,WI,USA,43.074761,-89.3837613,city,1,11/8/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saltair Pavilion,Magna,UT,USA,40.7479647,-112.187361,city,1,8/21/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonnaroo Music & Arts Festival,Manchester,TN,USA,35.4817432,-86.0885993,city,4,6/10/12,6/14/09,6/12/09,6/17/06,6/16/06,6/11/05,6/10/05,6/13/04,6/12/04,6/11/04,6/15/03,6/14/03,6/13/03,6/23/02,,,,,,,,,,,,,,,
Verizon Wireless Arena,Manchester,NH,USA,42.986588,-71.46175675,stadium,1,10/26/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xfinity Center,Mansfield,MA,USA,41.992272,-71.2204521,administrative,1,7/1/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Julien,Marseilles,0,France,47.0706778,3.0029271,hamlet,1,7/10/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverport Amphitheater,Maryland Heights,MO,USA,38.7131073,-90.4298401,city,4,6/17/06,7/20/01,7/29/98,8/6/97,6/13/95,8/2/92,,,,,,,,,,,,,,,,,,,,,,,
"MacPhie Pub, Tufts University",Medford,MA,USA,42.4184296,-71.1061639,administrative,1,9/14/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-South Coliseum,Memphis,TN,USA,35.11833832,-89.98030225,stadium,1,11/18/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud Island Amphitheater,Memphis,TN,USA,35.1478056,-90.0584242,theatre,1,6/14/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Daisy Theatre,Memphis,TN,USA,35.13967735,-90.05009255,theatre,1,11/2/06,11/3/01,3/6/91,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpheum Theatre,Memphis,TN,USA,35.1402183,-90.0554237,theatre,1,10/12/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Arena,Memphis,TN,USA,35.15588142,-90.0515549,stadium,1,9/29/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesa Amphitheatre,Mesa,AZ,USA,33.4153149,-111.8312672,city,1,12/9/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines Arena,Miami,FL,USA,25.7813574,-80.1879443,stadium,12,12/31/09,12/30/09,12/29/09,12/28/09,12/31/03,12/30/03,12/29/03,12/28/03,12/31/14,1/1/15,1/2/15,1/3/15,,,,,,,,,,,,,,,,,
Bayfront Park Amphitheater,Miami,FL,USA,25.800431,-80.263219,bus_station,1,8/3/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cameo Theatre,Miami Beach,FL,USA,25.7881436,-80.1272705,city,1,2/25/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cafeteria Building, Middlebury College",Middlebury,VT,USA,44.0153508,-73.1673417,administrative,1,10/28/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCullough Social Hall, McCullough ...",Middlebury,VT,USA,44.0153508,-73.1673417,administrative,1,12/6/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County Fairgrounds,Middletown,NY,USA,41.4459271,-74.4229341,city,1,7/21/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesleyan University,Middletown,CT,USA,41.55591467,-72.65650883,university,1,9/16/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parco Aquatica,Milan,0,Italy,45.4666211,9.1906166,city,1,7/7/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teatro Smeraldo,Milan,0,Italy,45.4805765,9.1879501,theatre,1,2/20/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagles Ballroom,Milwaukee,WI,USA,43.0349931,-87.922497,city,1,5/8/05,6/17/94,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rave,Milwaukee,WI,USA,43.0349931,-87.922497,city,1,4/14/00,5/1/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Avenue,Minneapolis,MN,USA,44.9785506,-93.2759799,bar,2,2/4/14,10/21/02,12/7/92,4/29/92,,,,,,,,,,,,,,,,,,,,,,,,,
Target Center,Minneapolis,MN,USA,44.97951566,-93.27609536,stadium,3,9/24/00,10/2/99,11/13/96,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cabooze,Minneapolis,MN,USA,44.96344355,-93.24690868,bar,2,2/9/00,10/5/91,11/6/90,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Venue,Minneapolis,MN,USA,44.9772995,-93.2654692,city,1,4/1/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams Fieldhouse, University of Montana",Missoula,MT,USA,46.8700801,-113.9952796,city,1,10/8/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Maggie's Farm,Monkton,VT,USA,44.2089446,-73.1145654,hamlet,1,2/7/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food Court, Mont Alto Campus, Penn ...",Mont Alto,PA,USA,39.8442593,-77.5583232,administrative,1,8/27/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laguna Seca Raceway,Monterey,CA,USA,36.6115295,-121.8870308,city,4,5/29/94,5/28/94,5/30/93,5/29/93,,,,,,,,,,,,,,,,,,,,,,,,,
Le Spectrum,Montreal,Quebec,Canada,45.5224507,-73.5912827,city,2,4/29/93,12/13/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Foufounes Electriques,Montreal,Quebec,Canada,45.5224507,-73.5912827,city,1,7/1/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Metropolis,Montreal,Quebec,Canada,45.5106101,-73.5633963,theatre,1,4/5/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theatre St. Denis,Montreal,Quebec,Canada,45.5146251,-73.5627505,theatre,1,7/6/94,,,,,,,,11/9/02,10/13/02,4/26/01,3/31/00,1/20/98,,,,,,,,,,,,,,,,
Red Rocks Amphitheatre,Morrison,CO,USA,39.665534,-105.20542,administrative,13,8/2/09,8/1/09,7/31/09,7/30/09,9/2/07,8/13/05,7/1/05,6/4/02,6/3/02,7/18/01,7/17/01,8/7/96,8/6/96,8/5/96,8/4/96,6/10/95,6/9/95,6/11/94,6/10/94,8/20/93,,,,,,,,,
Gopher Broke (Commune),Morrisville,VT,USA,44.5617189,-72.5984486,administrative,1,6/17/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoreline Amphitheatre,Mountain View,CA,USA,37.3855745,-122.08205,city,13,8/5/09,7/10/03,7/9/03,10/7/00,10/6/00,9/17/99,9/16/99,10/18/98,10/17/98,7/19/98,7/31/97,9/30/95,8/29/92,,,,,,,,,,,,,,,,
Incognito,Munich,0,Germany,48.1372719,11.5754815,city,1,2/25/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy Center, Middle Tennessee Sta...",Murfreesboro,TN,USA,35.845999,-86.3920452,city,1,11/15/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Quattro,Naka-ku,Nagoya,Japan,35.164902,136.9110575,town,1,6/13/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holman Stadium,Nashua,NH,USA,42.76870588,-71.47298528,stadium,1,7/22/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipal Auditorium,Nashville,TN,USA,36.1622257,-86.7743419,city,1,11/19/96,10/19/95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipal Auditorium,Nashville,TN,USA,36.1622257,-86.7743419,city,1,11/29/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Municipal Auditorium,Nashville,TN,USA,36.1622257,-86.7743419,city,1,6/26/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarratt Student Center, Vanderbilt ...",Nashville,TN,USA,36.1622257,-86.7743419,city,1,2/28/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt University Memorial Gym,Nashville,TN,USA,36.1622257,-86.7743419,city,1,10/18/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nightshift,Naugatuck,CT,USA,41.488063,-73.05632589,administrative,1,4/2/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sting,New Britain,CT,USA,38.620656,-89.885905,residential,2,11/19/91,5/16/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Theatre,New Brunswick,NJ,USA,40.4932147,-74.4445496,theatre,1,5/3/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Theatre,New Brunswick,NJ,USA,40.4932147,-74.4445496,theatre,1,2/20/10,6/16/94,4/9/93,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven Veterans Memorial Coliseum,New Haven,CT,USA,41.302352,-72.925532,residential,3,11/24/98,12/2/95,12/29/93,,,,,,,,,,,,,,,,,,,,,,,,,,
Palace Theatre,New Haven,CT,USA,41.2984165,-72.9290959,residential,3,12/29/92,12/28/92,3/19/92,,,,,,,,,,,,,,,,,,,,,,,,,,
Toad's Place,New Haven,CT,USA,41.3115173,-72.9296516,nightclub,2,3/6/10,10/5/06,5/29/06,10/26/05,10/14/03,4/13/03,4/12/01,,3/2/93,11/7/91,3/9/91,10/22/90,,,,,,,,,,,,,,,,,
John & Peter's,New Hope,PA,USA,40.361315,-74.950178,hamlet,1,8/9/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kiefer UNO Lakefront Arena, Univers...",New Orleans,LA,USA,29.9499323,-90.0701156,city,1,9/26/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McAlister Auditorium, Tulane University",New Orleans,LA,USA,29.9499323,-90.0701156,city,1,10/14/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Fairgrounds,New Orleans,LA,USA,29.9499323,-90.0701156,city,2,4/26/14,5/5/13,5/1/08,5/1/05,4/28/96,4/26/96,,,,,,,,,,,,,,,,,,,,,,,
State Palace Theatre,New Orleans,LA,USA,29.9499323,-90.0701156,city,2,4/30/05,10/17/95,5/4/94,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipitina's,New Orleans,LA,USA,29.9173155,-90.1008545,nightclub,5,5/4/08,5/4/03,11/8/02,11/2/01,5/7/00,4/25/99,3/3/93,,,,,,,,,,,,,,,,,,,,,,
Tipitina's,New Orleans,LA,USA,29.9173155,-90.1008545,nightclub,5,5/4/08,5/4/03,11/8/02,11/2/01,5/7/00,4/25/99,3/3/93,,3/2/93,11/7/91,3/9/91,10/22/90,,,,,,,,,,,,,,,,,
Beacon Theatre,New York,NY,USA,40.780522,-73.981041,city,3,10/26/12,12/16/11,3/12/09,2/12/06,3/22/05,3/21/05,3/28/04,3/26/97,3/1/96,4/15/94,4/14/94,4/13/94,,,,,,,,,,,,,,,,,
Ed Sullivan Theater,New York,NY,USA,40.763802,-73.982926,city,7,6/21/04,5/7/04,12/18/03,6/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny's Castaways,New York,NY,USA,40.728608,-73.999839,city,2,10/18/10,5/12/88,3/31/88,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar Roadhouse,New York,NY,USA,40.7549719,-73.9851379,city,1,5/15/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Square Garden,New York,NY,USA,40.7505124,-73.99349889,stadium,31,12/31/13,12/30/13,12/29/13,12/28/13,12/31/12,12/30/12,12/29/12,12/28/12,12/31/11,12/30/11,12/29/11,12/28/11,1/1/11,12/31/10,12/30/10,12/4/09,12/3/09,12/2/09,6/20/06,12/31/05,12/17/03,12/31/02,12/31/98,12/30/98,12/29/98,12/28/98,12/31/97,12/30/97,12/29/97
Mariott Marquis,New York,NY,USA,40.758594,-73.986076,city,1,7/16/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midtown Loft and Terrace,New York,NY,USA,40.745327,-73.986439,city,1,9/6/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTV Studios,New York,NY,USA,40.757909,-73.986336,city,1,7/23/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NBC Television Studios, Studio 6A",New York,NY,USA,40.757418,-73.983664,city,2,11/7/97,6/27/00,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NBC Television Studios, Studio 6B",New York,NY,USA,40.757418,-73.983664,city,1,5/13/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio City Music Hall,New York,NY,USA,40.759976,-73.979977,theatre,2,9/20/05,6/18/02,5/22/00,5/21/00,,,,,,,,,,,,,,,,,,,,,,,,,
Randall's Island,New York,NY,USA,40.7949411,-73.9253728,park,3,7/11/14,7/12/14,7/13/14,,,,,,,,,,,,,,,,,,,,,,,,,,
Roseland Ballroom,New York,NY,USA,40.763271,-73.983934,theatre,4,10/16/08,11/8/05,2/10/05,1/10/04,10/2/02,12/31/01,11/14/01,11/13/01,10/18/01,5/11/01,2/23/01,5/23/00,2/24/95,2/6/93,2/5/93,3/14/92,,,,,,,,,,,,,
Sony Music Studios,New York,NY,USA,40.7669252,-73.9893715,city,1,10/20/98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studio 8H, NBC Studios",New York,NY,USA,40.757418,-73.983664,city,1,12/14/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Academy,New York,NY,USA,40.718467,-74.006049,yes,1,4/2/96,4/1/96,7/15/91,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marquee,New York,NY,USA,40.750058,-74.002763,city,3,5/18/91,2/16/91,12/28/90,,,,,,7/18/92,,,,,,,,,,,,,,,,,,,,
The Waldorf Astoria,New York,NY,USA,40.756727,-73.97406,city,1,3/15/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wetlands Preserve,New York,NY,USA,40.721825,-74.008681,city,8,9/10/01,8/2/01,4/4/00,2/5/94,2/6/93,9/13/90,6/9/90,,,,,,,,,,,,,,,,,,,,,,
Tramps,New York,NY,USA,40.753438,-73.987372,city,1,4/10/99,6/23/88,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian National Home,New York,NY,USA,40.72886,-73.987121,city,1,12/15/89,,,,,,,,11/25/94,6/18/94,,,,,,,,,,,,,,,,,,,
WNEW Studios,New York,NY,USA,40.766269,-73.962058,city,1,4/13/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bob Carpenter Center, University of...",Newark,DE,USA,39.6839578,-75.73547671,post_office,2,2/13/93,4/18/94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Stone Church,Newmarket,NH,USA,43.082864,-70.9350582,administrative,5,4/7/89,2/18/89,2/17/89,12/17/88,11/11/88,,,,,,,,,,,,,,,,,,,,,,,,
The Blue Pelican,Newport,RI,USA,41.4899827,-71.3137707,city,2,8/25/89,5/19/89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara Falls Convention Center,Niagara Falls,NY,USA,43.099685,-79.03056351,city,1,12/7/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theatre de Verdure,Nice,0,France,43.6956447,7.267776248,theatre,1,7/18/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naeba Ski Resort,Niigata,0,Japan,37.8475965,139.025524,city,5,8/1/99,7/31/99,7/30/99,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch Music Center,Noblesville,IN,USA,40.0455918,-86.0085955,city,2,6/28/12,6/29/12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless Music Center,Noblesville,IN,USA,40.006817,-85.933861,residential,8,6/29/12,6/28/12,8/13/10,8/12/10,6/19/09,6/23/06,6/24/04,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless Music Center,Noblesville,IN,USA,40.006817,-85.933861,residential,8,6/29/12,6/28/12,8/13/10,8/12/10,6/19/09,6/23/06,6/24/04,,6/23/04,7/23/03,7/22/03,7/21/03,6/8/02,7/22/01,7/12/00,7/11/00,7/10/00,7/26/99,7/25/99,8/3/98,8/2/98,8/11/97,8/10/97,8/13/96,8/12/96,6/19/95,,,
Verizon Wireless Music Center,Noblesville,IN,USA,40.006817,-85.933861,residential,8,6/29/12,6/28/12,8/13/10,8/12/10,6/19/09,6/23/06,6/24/04,,6/23/04,,,,,,,,,,,,,,,,,,,,
The Boathouse,Norfolk,VA,USA,36.93083365,-76.25730325,city,1,7/14/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Redbird Arena, Illinois State University",Normal,IL,USA,40.5117699,-88.9944815,town,1,10/4/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Charleston Coliseum,North Charleston,SC,USA,32.86545825,-80.02247075,sports_centre,4,10/16/10,10/15/10,10/27/96,11/18/95,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Stage at Sugarbush,North Fayston,VT,USA,44.2420023,-72.8381728,hamlet,3,7/3/95,7/2/95,7/16/94,,,,,,,,,,,,,,,,,,,,,,,,,,
The Riviera Theatre,North Tonawanda,NY,USA,43.023576,-78.87688641,arts_centre,1,5/8/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Below,Northampton,MA,USA,42.318344,-72.6309533,administrative,1,4/1/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John M. Greene Hall, Smith College",Northampton,MA,USA,42.318344,-72.6309533,administrative,1,2/9/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Street Ballroom,Northampton,MA,USA,42.318344,-72.6309533,administrative,7,3/13/10,10/3/06,6/3/06,4/5/01,3/25/00,4/3/99,5/10/90,11/16/89,9/21/89,8/18/89,6/30/89,5/30/89,5/1/89,,,,,,,,,,,,,,,,
Sheehan's,Northampton,MA,USA,42.318344,-72.6309533,administrative,3,3/11/89,2/11/89,12/9/88,,,,,,,,,,,,,,,,,,,,,,,,,,
Waldbuhne,Northeim,0,Germany,51.7029675,10.0254961,theatre,1,6/20/92,,,,,,,,12/28/96,12/15/95,,,,,,,,,,,,,,,,,,,
Northfield/Mt. Hermon School Gymnasium,Northfield,MA,USA,42.6959174,-72.4528653,administrative,1,5/20/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Cave, Carleton College",Northfield,MN,USA,44.4582983,-93.161604,city,1,4/11/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD's,Norwalk,CT,USA,38.0005848,-122.0866509,residential,1,5/8/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Clarke Memorial Fountain, Notre...",Notre Dame,IN,USA,41.6992003,-86.2373691,suburb,1,4/25/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resi,Nuremberg,0,Germany,49.4538723,11.0772978,city,1,6/24/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serenadenhof,Nuremberg,0,Germany,49.4323329,11.1142075,theatre,1,7/3/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forum,Nuremberg,0,Germany,49.4677681,11.0589817,restaurant,1,7/21/96,,,,,,,,3/12/92,,,,,,,,,,,,,,,,,,,,
